"Year/Month","전국","수도권","지방","서울","(서울)도심권","(서울)동북권","(서울)서북권","(서울)서남권","(서울)동남권","부산","금리"
"2022년 06월","404.5","710.4","292.5","1405.4","1431.3","1154.9","1214.3","1203.6","2194.5","414.6","1.75"
"2022년 07월","387.7","683.9","288.5","1375","1257.7","1112.9","1250.4","1170.1","2041.4","398.2","2.25"
"2022년 08월","386.2","655.7","290","1240.6","1543.6","1059.3","1132","1066.6","1774.2","413.3","2.5"
"2022년 09월","377.8","640.8","286.7","1248.3","1216.6","1035.8","1233.8","1053.5","2037.4","419.6","2.5"
"2022년 10월","378.6","621.4","295.7","1191.5","1173.4","1017.2","1074.6","1031.9","1767.8","446.3","3.00"
"2022년 11월","413","661.2","304.3","1274.1","1510.4","931","1120.6","1027.4","1904","456.8","3.25"
"2022년 12월","435","673.2","312.2","1266.9","1409.4","1017.2","1167.9","1051.2","1823.4","456.1","3.25"
"2023년 01월","489.2","722.3","336.3","1298.1","1405.3","1025.7","1216.8","1118.9","1838.6","501.9","3.5"
"2023년 02월","522.5","756.6","351.5","1357.8","1516.3","1049.8","1219.5","1136.6","1914.7","515.8","3.5"
"2023년 03월","510.8","741.3","342.6","1351","1565.3","1054.7","1191.7","1154.3","1950","501.2","3.5"
"2023년 04월","538.9","781.7","349.8","1373.1","1537.4","1082.1","1246.4","1167.6","1964","517.3","3.5"
"2023년 05월","558","807.2","351.5","1438.8","1624","1102.7","1316.8","1212.1","2063.8","511.9","3.5"
"2023년 06월","568.2","831.1","356.7","1462.3","1700.6","1119.7","1316.7","1224.3","2156.9","499.5","3.5"
"2023년 07월","566.9","827.2","356.7","1439.3","1625.1","1126.7","1337.5","1209.6","2105.2","508.3","3.5"
"2023년 08월","566.2","829.1","354.8","1474.6","1720.8","1136.4","1332.8","1230.4","2183.5","507.8","3.5"
"2023년 09월","558.5","820.4","358.5","1450.3","1604.2","1153.9","1319.5","1250.7","2143.6","520","3.5"
"2023년 10월","483.7","738.7","335.5","1378.8","1758.8","1067.4","1182.5","1192","2095.2","487.9","3.5"
"2023년 11월","461.1","712.5","328.4","1355.2","1512.5","1021.6","1223.4","1201.6","2014.5","471.5","3.5"
"2023년 12월","485.2","747.9","330.1","1354.4","1533.6","1076.1","1210.3","1197.9","2002.1","484.4","3.5"
"2024년 01월","499.7","749.7","334.1","1368.6","1718.4","1094.4","1294.7","1136.2","2057.8","485","3.5"
"2024년 02월","505.3","763.7","325.8","1396.6","1734.4","1102.3","1278.3","1203.4","2080.8","483.1","3.5"
